"","genes","merge","value","ID_sample","ID_lab","Lib","Seq_batch","Numero_unique_groupe","Numero_unique_specimen","Weight","Length","TAG","Tank_exp","Tank_sample","Temperature_acclim","Temperature_sampling","Delta_acclim","Delta_temperature","DatHr_euthan","deltaT.ARN","Time","ID","acclim","sampling","Delta_short","Delta_long","cluster","cutoff0.001","cutoff0.018","cutoff0.03","cutoff0.071","cutoff0.16","cutoff0.284","cutoff0.444","cutoff0.524","cutoff0.64","cutoff0.871","cutoff1.138","cutoff1.44","cutoff1.778","cutoff2.151","cutoff2.409","cutoff3.004","cutoff3.484","cutoff4","sum_cluster","sum_cluster2","cluster2","cluster_new"
"33","SEFA.16369.17","7.55",-0.331782192708455,"ARN_22_00005","S05","NS.1812.001.NEBNext_dual_i7_207---NEBNext_dual_i5_255.ARN_22_00005","1812","G_21_09215","S_21_06004",271.5,257,34245,"B4","A3",7.5,5,"10mo",2.5,44489.39,125,"24h","1812.ARN_22_00005","7.5","5","down","2.5",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"34","SEFA.16369.18","7.55",-0.322121824680802,"ARN_22_00005","S05","NS.1812.001.NEBNext_dual_i7_207---NEBNext_dual_i5_255.ARN_22_00005","1812","G_21_09215","S_21_06004",271.5,257,34245,"B4","A3",7.5,5,"10mo",2.5,44489.39,125,"24h","1812.ARN_22_00005","7.5","5","down","2.5",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"35","SEFA.16369.19","7.55",-0.32911609299319,"ARN_22_00005","S05","NS.1812.001.NEBNext_dual_i7_207---NEBNext_dual_i5_255.ARN_22_00005","1812","G_21_09215","S_21_06004",271.5,257,34245,"B4","A3",7.5,5,"10mo",2.5,44489.39,125,"24h","1812.ARN_22_00005","7.5","5","down","2.5",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"36","SEFA.16369.20","7.55",-0.340350868590989,"ARN_22_00005","S05","NS.1812.001.NEBNext_dual_i7_207---NEBNext_dual_i5_255.ARN_22_00005","1812","G_21_09215","S_21_06004",271.5,257,34245,"B4","A3",7.5,5,"10mo",2.5,44489.39,125,"24h","1812.ARN_22_00005","7.5","5","down","2.5",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"37","SEFA.16369.21","7.55",-0.330827801318619,"ARN_22_00005","S05","NS.1812.001.NEBNext_dual_i7_207---NEBNext_dual_i5_255.ARN_22_00005","1812","G_21_09215","S_21_06004",271.5,257,34245,"B4","A3",7.5,5,"10mo",2.5,44489.39,125,"24h","1812.ARN_22_00005","7.5","5","down","2.5",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"38","SEFA.16369.22","7.55",-0.326357707642454,"ARN_22_00005","S05","NS.1812.001.NEBNext_dual_i7_207---NEBNext_dual_i5_255.ARN_22_00005","1812","G_21_09215","S_21_06004",271.5,257,34245,"B4","A3",7.5,5,"10mo",2.5,44489.39,125,"24h","1812.ARN_22_00005","7.5","5","down","2.5",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"39","SEFA.16369.23","7.55",-0.32484191529412,"ARN_22_00005","S05","NS.1812.001.NEBNext_dual_i7_207---NEBNext_dual_i5_255.ARN_22_00005","1812","G_21_09215","S_21_06004",271.5,257,34245,"B4","A3",7.5,5,"10mo",2.5,44489.39,125,"24h","1812.ARN_22_00005","7.5","5","down","2.5",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"40","SEFA.16369.24","7.55",-0.323751890901246,"ARN_22_00005","S05","NS.1812.001.NEBNext_dual_i7_207---NEBNext_dual_i5_255.ARN_22_00005","1812","G_21_09215","S_21_06004",271.5,257,34245,"B4","A3",7.5,5,"10mo",2.5,44489.39,125,"24h","1812.ARN_22_00005","7.5","5","down","2.5",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"41","SEFA.16369.25","7.55",-0.338601542002235,"ARN_22_00005","S05","NS.1812.001.NEBNext_dual_i7_207---NEBNext_dual_i5_255.ARN_22_00005","1812","G_21_09215","S_21_06004",271.5,257,34245,"B4","A3",7.5,5,"10mo",2.5,44489.39,125,"24h","1812.ARN_22_00005","7.5","5","down","2.5",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"42","SEFA.16369.26","7.55",-0.344243806189455,"ARN_22_00005","S05","NS.1812.001.NEBNext_dual_i7_207---NEBNext_dual_i5_255.ARN_22_00005","1812","G_21_09215","S_21_06004",271.5,257,34245,"B4","A3",7.5,5,"10mo",2.5,44489.39,125,"24h","1812.ARN_22_00005","7.5","5","down","2.5",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"43","SEFA.16369.27","7.55",-0.332086816671984,"ARN_22_00005","S05","NS.1812.001.NEBNext_dual_i7_207---NEBNext_dual_i5_255.ARN_22_00005","1812","G_21_09215","S_21_06004",271.5,257,34245,"B4","A3",7.5,5,"10mo",2.5,44489.39,125,"24h","1812.ARN_22_00005","7.5","5","down","2.5",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"44","SEFA.16370.1","7.55",-0.327893350817605,"ARN_22_00005","S05","NS.1812.001.NEBNext_dual_i7_207---NEBNext_dual_i5_255.ARN_22_00005","1812","G_21_09215","S_21_06004",271.5,257,34245,"B4","A3",7.5,5,"10mo",2.5,44489.39,125,"24h","1812.ARN_22_00005","7.5","5","down","2.5",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
