"","Transcrip_name","Compare"
"578","SEFA.13550.6","LongTerm"
"579","SEFA.13647.1","LongTerm"
"580","SEFA.13648.1","LongTerm"
"581","SEFA.13648.2","LongTerm"
"582","SEFA.13648.3","LongTerm"
"583","SEFA.13830.1","LongTerm"
"584","SEFA.13841.1","LongTerm"
"585","SEFA.13873.1","LongTerm"
"586","SEFA.13893.3","LongTerm"
"587","SEFA.13893.10","LongTerm"
"588","SEFA.13970.1","LongTerm"
"589","SEFA.13970.2","LongTerm"
"590","SEFA.14026.1","LongTerm"
"591","SEFA.14026.2","LongTerm"
"592","SEFA.14026.3","LongTerm"
"593","SEFA.14027.1","LongTerm"
"594","SEFA.14050.1","LongTerm"
"595","SEFA.14056.4","LongTerm"
"596","SEFA.14064.1","LongTerm"
"597","SEFA.14072.1","LongTerm"
"598","SEFA.14108.1","LongTerm"
"599","SEFA.14178.1","LongTerm"
"600","SEFA.14188.1","LongTerm"
"601","SEFA.14188.2","LongTerm"
"602","SEFA.14188.3","LongTerm"
"603","SEFA.14437.1","LongTerm"
"604","SEFA.14491.87","LongTerm"
"605","SEFA.14492.45","LongTerm"
"606","SEFA.14556.1","LongTerm"
"607","SEFA.14562.1","LongTerm"
"608","SEFA.14583.1","LongTerm"
"609","SEFA.14583.2","LongTerm"
"610","SEFA.14583.3","LongTerm"
"611","SEFA.14584.1","LongTerm"
"612","SEFA.14584.3","LongTerm"
"613","SEFA.14595.1","LongTerm"
"614","SEFA.14654.1","LongTerm"
"615","SEFA.14684.1","LongTerm"
"616","SEFA.14714.1","LongTerm"
"617","SEFA.14738.1","LongTerm"
"618","SEFA.14877.1","LongTerm"
"619","SEFA.14967.1","LongTerm"
"620","SEFA.15057.1","LongTerm"
"621","SEFA.15075.1","LongTerm"
"622","SEFA.15075.2","LongTerm"
"623","SEFA.15093.1","LongTerm"
"624","SEFA.15093.2","LongTerm"
"625","SEFA.15120.1","LongTerm"
"626","SEFA.15128.1","LongTerm"
"627","SEFA.15196.1","LongTerm"
"628","SEFA.15198.2","LongTerm"
"629","SEFA.15254.1","LongTerm"
"630","SEFA.15365.1","LongTerm"
"631","SEFA.15373.1","LongTerm"
"632","SEFA.15377.1","LongTerm"
"633","SEFA.15378.1","LongTerm"
"634","SEFA.15388.1","LongTerm"
"635","SEFA.15435.1","LongTerm"
"636","SEFA.15501.1","LongTerm"
"637","SEFA.15501.2","LongTerm"
"638","SEFA.15550.1","LongTerm"
"639","SEFA.15721.14","LongTerm"
"640","SEFA.15746.1","LongTerm"
"641","SEFA.15762.1","LongTerm"
"642","SEFA.15854.1","LongTerm"
"643","SEFA.15854.2","LongTerm"
"644","SEFA.15854.3","LongTerm"
"645","SEFA.15854.4","LongTerm"
"646","SEFA.15854.5","LongTerm"
"647","SEFA.15854.6","LongTerm"
"648","SEFA.15855.1","LongTerm"
"649","SEFA.15859.1","LongTerm"
"650","SEFA.15925.1","LongTerm"
"651","SEFA.16025.1","LongTerm"
"652","SEFA.16025.2","LongTerm"
"653","SEFA.16025.3","LongTerm"
"654","SEFA.16025.4","LongTerm"
"655","SEFA.16025.5","LongTerm"
"656","SEFA.16025.6","LongTerm"
"657","SEFA.16025.7","LongTerm"
"658","SEFA.16026.1","LongTerm"
"659","SEFA.16026.2","LongTerm"
"660","SEFA.16026.3","LongTerm"
"661","SEFA.16026.4","LongTerm"
"662","SEFA.16044.1","LongTerm"
"663","SEFA.16044.2","LongTerm"
"664","SEFA.16044.3","LongTerm"
"665","SEFA.16051.1","LongTerm"
"666","SEFA.16064.1","LongTerm"
"667","SEFA.16064.2","LongTerm"
"668","SEFA.16075.2","LongTerm"
"669","SEFA.16091.1","LongTerm"
"670","SEFA.16091.2","LongTerm"
"671","SEFA.16141.6","LongTerm"
"672","SEFA.16141.7","LongTerm"
"673","SEFA.16142.1","LongTerm"
"674","SEFA.16143.1","LongTerm"
"675","SEFA.16206.1","LongTerm"
"676","SEFA.16211.1","LongTerm"
"677","SEFA.16257.1","LongTerm"
"678","SEFA.16264.1","LongTerm"
"679","SEFA.16324.1","LongTerm"
"680","SEFA.16348.1","LongTerm"
"681","SEFA.16369.1","LongTerm"
"682","SEFA.16369.2","LongTerm"
"683","SEFA.16369.3","LongTerm"
"684","SEFA.16369.4","LongTerm"
"685","SEFA.16369.5","LongTerm"
"686","SEFA.16369.6","LongTerm"
"687","SEFA.16369.7","LongTerm"
"688","SEFA.16369.8","LongTerm"
"689","SEFA.16369.9","LongTerm"
"690","SEFA.16369.10","LongTerm"
"691","SEFA.16369.11","LongTerm"
"692","SEFA.16369.12","LongTerm"
"693","SEFA.16369.13","LongTerm"
"694","SEFA.16369.14","LongTerm"
"695","SEFA.16369.15","LongTerm"
"696","SEFA.16369.16","LongTerm"
"697","SEFA.16369.17","LongTerm"
"698","SEFA.16369.18","LongTerm"
