"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","test"
"SEFA.980",84.9026280572968,0.615057965249609,0.197397168826122,3.11583985174268,0.00183421856336237,0.0272230149067385,"acclim"
"SEFA.1010",63.8698098268543,1.04707455345635,0.312895374155932,3.34640470886137,0.000818668125846027,0.0163659369556884,"acclim"
"SEFA.1011",27.4308523658968,-0.50365489586597,0.148906258800498,-3.38236216478152,0.000718653318815123,0.0152762777416609,"acclim"
"SEFA.1117",5.5245690308104,0.717247836116261,0.217338985966531,3.30013427147725,0.000966385803486063,0.0182043958195152,"acclim"
"SEFA.1168",3.47296136079639,-0.904628359105647,0.252088344800955,-3.58853702585865,0.000332538772048856,0.00954938701753326,"acclim"
"SEFA.1199",18.5958876629169,0.556658986197789,0.189688965517006,2.93458812788919,0.00333990694123864,0.0392333372337906,"acclim"
"SEFA.1246",6.80551672783178,-0.662560697840021,0.164524379530229,-4.02712777116589,5.64623534135649e-05,0.00337472615385755,"acclim"
"SEFA.1331",8.96574568178641,2.20487543899732,0.690312846037485,3.19402348030126,0.00140304705102464,0.0229272711804138,"acclim"
"SEFA.1332",1.14352499620248,1.59509360878215,0.547596163802671,2.91290135728005,0.0035808769795938,0.0408660342421992,"acclim"
"SEFA.1397.1",4.6027922987903,1.13637109758382,0.385418675156016,2.94840694246022,0.00319416289487454,0.0382086025525291,"acclim"
"SEFA.1425.1",47.3084141651579,-0.892206674620045,0.190236019853633,-4.68999864119584,2.73206863207801e-06,0.000492376902887186,"acclim"
"SEFA.1477",50.1459246334109,0.759229125100705,0.194823667482981,3.89700663635761,9.73889514590934e-05,0.004460161018511,"acclim"
"SEFA.1541",96.754985357107,-0.990036377449631,0.295276341294246,-3.35291467345516,0.000799653547478393,0.0161860779763998,"acclim"
"SEFA.1586",28.7846411419603,-1.23239858611141,0.432046528195146,-2.85246728230799,0.00433812779158927,0.0457749067751658,"acclim"
"SEFA.1628",367.408537216046,-1.60342251385454,0.452001751884513,-3.54738119303621,0.00038908119159134,0.0105919006955008,"acclim"
"SEFA.1871",22.9207036781097,0.681799541824289,0.240490852417228,2.83503316226529,0.00458209290089136,0.0475243894285391,"acclim"
